precinct,mcpp
N,BITTERLAKE
N,NORTHGATE
N,LAKECITY
N,GREENWOOD
N,ROOSEVELT/RAVENNA
N,SANDPOINT
N,BALLARD NORTH
N,BALLARD SOUTH
N,PHINNEY RIDGE
N,FREMONT
N,WALLINGFORD
N,UNIVERSITY
E,EASTLAKE-EAST
E,MONTLAKE/PORTAGE BAY
E,MADISON PARK
E,MILLER PARK
E,CAPITOL HILL
E,CENTRAL AREA/SQUIRE PARK
E,MADRONA/LESCHI
E,FIRST HILL
E,JUDKINS PARK/NORTH BEACON HILL
W,CHINATOWN/INTERNATIONAL DISTRICT
W,MAGNOLIA
W,QUEEN ANNE
W,EASTLAKE-WEST
W,SLU/CASCADE
W,BELLTOWN
W,DOWNTOWN COMMERCIAL
W,PIONEER SQUARE
SW,ALKI
SW,MORGAN
SW,NORTH ADMIRAL
SW,COMMERCIAL HARBOR ISLAND
SW,COMMERCIAL DUWAMISH
SW,PIGEON POINT
SW,ALASKA JUNCTION
SW,NORTH DELRIDGE
SW,HIGH POINT
SW,FAUNTLEROY SW
SW,ROXHILL/WESTWOOD/ARBOR HEIGHTS
SW,SOUTH DELRIDGE
SW,HIGHLAND PARK
SW,SOUTH PARK
S,SODO
S,NORTH BEACON HILL
S,MOUNT BAKER
S,CLAREMONT/RAINIER VISTA
S,GENESEE
S,COLUMBIA CITY
S,MID BEACON HILL
S,GEORGETOWN
S,HILLMAN CITY
S,LAKEWOOD/SEWARD PARK
S,NEW HOLLY
S,BRIGHTON/DUNLAP
S,SOUTH BEACON HILL
S,RAINIER BEACH
S,RAINIER VIEW
